measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Canada,Female,25-29 years,Ischemic heart disease,Percent,2019,0.00983008274264992,0.012587200697850333,0.007464419017451647
Deaths,Canada,Both,25-29 years,Ischemic heart disease,Percent,2019,0.014247768475174647,0.01731214228070513,0.01146947675032306
Deaths,Canada,Male,25-29 years,Ischemic heart disease,Rate,2019,1.432808415592659,1.7460542740849974,1.1491098812915317
Deaths,Canada,Female,25-29 years,Ischemic heart disease,Rate,2019,0.3560871011511424,0.4533422763374918,0.27146061499981367
Deaths,Canada,Both,25-29 years,Ischemic heart disease,Rate,2019,0.8990984243209583,1.092494256427159,0.725887665301058
Deaths,Canada,Male,30-34 years,Ischemic heart disease,Number,2019,38.600738133025544,46.420785416980934,31.41230867325099
Deaths,Canada,Female,30-34 years,Ischemic heart disease,Number,2019,10.386035892818551,12.832826690927087,8.206951518888047
Deaths,Canada,Both,30-34 years,Ischemic heart disease,Number,2019,48.9867740258442,58.43487470100503,40.40844438311477
Deaths,Canada,Male,30-34 years,Ischemic heart disease,Percent,2019,0.03307134033263707,0.039620424069398176,0.02689547292293912
Deaths,Canada,Female,30-34 years,Ischemic heart disease,Percent,2019,0.01855367213858286,0.022829533724200442,0.014626393091651922
Deaths,Canada,Both,30-34 years,Ischemic heart disease,Percent,2019,0.028365668110766896,0.033830687950527155,0.023301364552396984
Deaths,Canada,Male,30-34 years,Ischemic heart disease,Rate,2019,3.2268558659405002,3.8805782212799698,2.6259340470562322
Deaths,Canada,Female,30-34 years,Ischemic heart disease,Rate,2019,0.8555909922932278,1.0571551105469603,0.6760802548933085
Deaths,Canada,Both,30-34 years,Ischemic heart disease,Rate,2019,2.0325317850344025,2.4245470853344058,1.6766045371582412
Deaths,Canada,Male,35-39 years,Ischemic heart disease,Number,2019,85.80010930684877,100.75495102374326,71.23303580211949
Deaths,Canada,Female,35-39 years,Ischemic heart disease,Number,2019,21.253508509836013,24.999094581820735,17.71151562066194
Deaths,Canada,Both,35-39 years,Ischemic heart disease,Number,2019,107.05361781668478,123.751154320015,90.11526471024014
Deaths,Canada,Male,35-39 years,Ischemic heart disease,Percent,2019,0.06369220910674263,0.07493029272571594,0.05305026572665633
Deaths,Canada,Female,35-39 years,Ischemic heart disease,Percent,2019,0.027734955535659103,0.03274080057098382,0.02319742498873098
Deaths,Canada,Both,35-39 years,Ischemic heart disease,Percent,2019,0.05065453791656429,0.05864898539016338,0.04263695873215809
Deaths,Canada,Male,35-39 years,Ischemic heart disease,Rate,2019,7.143846370373098,8.389009023216154,5.930969883100229
Deaths,Canada,Female,35-39 years,Ischemic heart disease,Rate,2019,1.7102781551172095,2.0116869335342953,1.4252525998715264
Deaths,Canada,Both,35-39 years,Ischemic heart disease,Rate,2019,4.380749621572894,5.064030842796261,3.6876139249522772
Deaths,Canada,Male,40-44 years,Ischemic heart disease,Number,2019,184.23774816408502,209.78106061048527,159.25779916749465
Deaths,Canada,Female,40-44 years,Ischemic heart disease,Number,2019,46.20981754982302,53.04065856754252,39.45615833465081
Deaths,Canada,Both,40-44 years,Ischemic heart disease,Number,2019,230.44756571390772,260.8377617911558,202.0067150753085
Deaths,Canada,Male,40-44 years,Ischemic heart disease,Percent,2019,0.1055044325841568,0.1201478387327087,0.09163554340030493
Deaths,Canada,Female,40-44 years,Ischemic heart disease,Percent,2019,0.041726303512888724,0.04797050114797212,0.035534091256972815
Deaths,Canada,Both,40-44 years,Ischemic heart disease,Percent,2019,0.08075410622914243,0.09119566372962706,0.07077559031697117
Deaths,Canada,Male,40-44 years,Ischemic heart disease,Rate,2019,16.069039695684104,18.29690290911696,13.890312502031719
Deaths,Canada,Female,40-44 years,Ischemic heart disease,Rate,2019,3.8635642841614377,4.434685201451172,3.298896472976
Deaths,Canada,Both,40-44 years,Ischemic heart disease,Rate,2019,9.83734130384696,11.134637416203665,8.623258812513658
Deaths,Canada,Male,45-49 years,Ischemic heart disease,Number,2019,376.0737400243207,418.12557336974163,332.34042744562817
Deaths,Canada,Female,45-49 years,Ischemic heart disease,Number,2019,85.85082152255083,107.20190119584997,68.08583491897184
Deaths,Canada,Both,45-49 years,Ischemic heart disease,Number,2019,461.92456154687113,501.28326003291795,420.3687647442469
Deaths,Canada,Male,45-49 years,Ischemic heart disease,Percent,2019,0.14269836925670332,0.15909286198600203,0.12595804556595613
Deaths,Canada,Female,45-49 years,Ischemic heart disease,Percent,2019,0.04998061546534864,0.06243721814829258,0.03953116441187755
Deaths,Canada,Both,45-49 years,Ischemic heart disease,Percent,2019,0.10611307930434162,0.11489502135550786,0.09694612587726323
Deaths,Canada,Male,45-49 years,Ischemic heart disease,Rate,2019,32.61521913494335,36.26218943257254,28.822421549132677
Deaths,Canada,Female,45-49 years,Ischemic heart disease,Rate,2019,7.179670617933327,8.965253058181416,5.693991738178031
Deaths,Canada,Both,45-49 years,Ischemic heart disease,Rate,2019,19.66631567242526,21.34200181972672,17.89708864712309
Deaths,Canada,Male,50-54 years,Ischemic heart disease,Number,2019,754.9634062117727,828.3272112297415,682.9007589136311
Deaths,Canada,Female,50-54 years,Ischemic heart disease,Number,2019,182.79760642983905,209.11147551693145,155.3572077727244
Deaths,Canada,Both,50-54 years,Ischemic heart disease,Number,2019,937.7610126416106,1029.9753760415863,845.1872776803164
Deaths,Canada,Male,50-54 years,Ischemic heart disease,Percent,2019,0.1733880939976191,0.1894551223395052,0.15653994328753676
Deaths,Canada,Female,50-54 years,Ischemic heart disease,Percent,2019,0.061639461564706725,0.07050735093664705,0.052126470863654725
Deaths,Canada,Both,50-54 years,Ischemic heart disease,Percent,2019,0.12811321064442074,0.14019968049779097,0.11546257079899219
Deaths,Canada,Male,50-54 years,Ischemic heart disease,Rate,2019,62.177565797022375,68.21969019151952,56.24260264911206
Deaths,Canada,Female,50-54 years,Ischemic heart disease,Rate,2019,14.540295873839518,16.633383686007637,12.357600360680832
Deaths,Canada,Both,50-54 years,Ischemic heart disease,Rate,2019,37.94475793980669,41.676040911284595,34.19893366545873
Deaths,Canada,Male,55-59 years,Ischemic heart disease,Number,2019,1394.6875787431695,1523.0302608506572,1267.5253188908912
Deaths,Canada,Female,55-59 years,Ischemic heart disease,Number,2019,367.1152330495505,418.83010828673815,315.3066738204162
Deaths,Canada,Both,55-59 years,Ischemic heart disease,Number,2019,1761.802811792718,1929.1287387895106,1599.7584688071984
Deaths,Canada,Male,55-59 years,Ischemic heart disease,Percent,2019,0.18145775890190793,0.19778019745268785,0.16510306907436648
Deaths,Canada,Female,55-59 years,Ischemic heart disease,Percent,2019,0.07241200023563021,0.08242600678237574,0.06237836009601397
Deaths,Canada,Both,55-59 years,Ischemic heart disease,Percent,2019,0.13811756560808874,0.15082610875771005,0.12526613669822753
Deaths,Canada,Male,55-59 years,Ischemic heart disease,Rate,2019,104.81660334747829,114.46209256531067,95.25982779799178
Deaths,Canada,Female,55-59 years,Ischemic heart disease,Rate,2019,26.627269868074105,30.37820640016976,22.869538333452468
Deaths,Canada,Both,55-59 years,Ischemic heart disease,Rate,2019,65.02756347755341,71.20350851884466,59.04655996845625
Deaths,Canada,Male,60-64 years,Ischemic heart disease,Number,2019,2055.268406768022,2233.1691426120087,1875.9938474513333
Deaths,Canada,Female,60-64 years,Ischemic heart disease,Number,2019,654.055104630372,770.9231589916087,546.3920789483763
Deaths,Canada,Both,60-64 years,Ischemic heart disease,Number,2019,2709.3235113983974,2972.129704041905,2433.6096754978093
Deaths,Canada,Male,60-64 years,Ischemic heart disease,Percent,2019,0.18516814635811962,0.20050605819711395,0.16873375208128782
Deaths,Canada,Female,60-64 years,Ischemic heart disease,Percent,2019,0.08990765906492948,0.10599202367889503,0.07482727508344053
Deaths,Canada,Both,60-64 years,Ischemic heart disease,Percent,2019,0.14745202965394724,0.16227550369209176,0.13267187720668325
Deaths,Canada,Male,60-64 years,Ischemic heart disease,Rate,2019,169.5041985250192,184.17620999901723,154.7188836761975
Deaths,Canada,Female,60-64 years,Ischemic heart disease,Rate,2019,51.38666451008895,60.568550652238386,42.92798306001697
Deaths,Canada,Both,60-64 years,Ischemic heart disease,Rate,2019,109.01268481360324,119.58698814990841,97.91902790429353
Deaths,Canada,Male,65-69 years,Ischemic heart disease,Number,2019,2589.2003570675533,2813.505544727255,2375.579648574665
Deaths,Canada,Female,65-69 years,Ischemic heart disease,Number,2019,967.448177534595,1081.9740611106283,847.9684678974019
Deaths,Canada,Both,65-69 years,Ischemic heart disease,Number,2019,3556.648534602149,3872.955024125943,3258.006842132643
Deaths,Canada,Male,65-69 years,Ischemic heart disease,Percent,2019,0.18199067453121212,0.19720653510413216,0.16737763933738223
Deaths,Canada,Female,65-69 years,Ischemic heart disease,Percent,2019,0.10061173353478567,0.11252679821120772,0.0884742844248829
Deaths,Canada,Both,65-69 years,Ischemic heart disease,Percent,2019,0.14917099311792711,0.16197022212892626,0.1367205957713308
Deaths,Canada,Male,65-69 years,Ischemic heart disease,Rate,2019,257.4699988413769,279.7748993676017,236.22756257412297
Deaths,Canada,Female,65-69 years,Ischemic heart disease,Rate,2019,89.66718869824672,100.28193194952358,78.59330389652882
Deaths,Canada,Both,65-69 years,Ischemic heart disease,Rate,2019,170.61833595353022,185.79208347702266,156.29199807679854
Deaths,Canada,Male,70-74 years,Ischemic heart disease,Number,2019,3154.6384636315097,3415.4059131082736,2854.2318854280043
Deaths,Canada,Female,70-74 years,Ischemic heart disease,Number,2019,1485.57527021348,1690.043929281551,1309.5028308042401
Deaths,Canada,Both,70-74 years,Ischemic heart disease,Number,2019,4640.21373384499,5038.5291607761965,4197.931277560131
Deaths,Canada,Male,70-74 years,Ischemic heart disease,Percent,2019,0.17417191169773608,0.18881035534778728,0.1578805885270096
Deaths,Canada,Female,70-74 years,Ischemic heart disease,Percent,2019,0.11408131023995585,0.12939404516996172,0.1009408046737968
Deaths,Canada,Both,70-74 years,Ischemic heart disease,Percent,2019,0.1490387981693438,0.16183886677697246,0.13502212264051394
Deaths,Canada,Male,70-74 years,Ischemic heart disease,Rate,2019,387.5332260714287,419.5673409518436,350.62962151375507
Deaths,Canada,Female,70-74 years,Ischemic heart disease,Rate,2019,166.4816076506102,189.3954725744153,146.74997683825654
Deaths,Canada,Both,70-74 years,Ischemic heart disease,Rate,2019,271.93536376366933,295.27826491608334,246.0158161879043
Deaths,Canada,Male,75-79 years,Ischemic heart disease,Number,2019,3495.151375921452,3779.4084983367115,3197.8075323625426
Deaths,Canada,Female,75-79 years,Ischemic heart disease,Number,2019,2034.6055350332424,2283.0784043721324,1778.7014335588333
Deaths,Canada,Both,75-79 years,Ischemic heart disease,Number,2019,5529.756910954691,6002.434067645159,5015.348926066944
Deaths,Canada,Male,75-79 years,Ischemic heart disease,Percent,2019,0.17652664732721654,0.19081376039810594,0.16198030717656878
Deaths,Canada,Female,75-79 years,Ischemic heart disease,Percent,2019,0.13377689194703254,0.14984587028449076,0.11696250313419923
Deaths,Canada,Both,75-79 years,Ischemic heart disease,Percent,2019,0.15795464101280624,0.17154357716758223,0.1434763258871229
Deaths,Canada,Male,75-79 years,Ischemic heart disease,Rate,2019,644.6169124362789,697.0429532228637,589.7772646638422
Deaths,Canada,Female,75-79 years,Ischemic heart disease,Rate,2019,325.41745908028264,365.15853340569396,284.48782380891106
Deaths,Canada,Both,75-79 years,Ischemic heart disease,Rate,2019,473.66708186809973,514.1555903288861,429.6040004316022
Deaths,Canada,Male,80+ years,Ischemic heart disease,Number,2019,12525.412464464713,13656.894877751956,10709.059980819768
Deaths,Canada,Female,80+ years,Ischemic heart disease,Number,2019,16233.335088809614,18747.681185792197,12681.1596511692
Deaths,Canada,Both,80+ years,Ischemic heart disease,Number,2019,28758.747553274316,32161.540032845896,23541.68306120771
Deaths,Canada,Male,80+ years,Ischemic heart disease,Percent,2019,0.2019696204220682,0.22006083841017968,0.17282891526899116
Deaths,Canada,Female,80+ years,Ischemic heart disease,Percent,2019,0.20024828138959225,0.23090288346281682,0.1562201510134242
Deaths,Canada,Both,80+ years,Ischemic heart disease,Percent,2019,0.20099436329864068,0.22453788703564112,0.16470441239302414
Deaths,Canada,Male,80+ years,Ischemic heart disease,Rate,2019,1927.0480872516541,2101.1278651807233,1647.6003174226698
Deaths,Canada,Female,80+ years,Ischemic heart disease,Rate,2019,1669.3819427063656,1927.9488945405838,1304.0880890108451
Deaths,Canada,Both,80+ years,Ischemic heart disease,Rate,2019,1772.6105844122621,1982.3494109961825,1451.0449904632376
Deaths,Canada,Male,All ages,Ischemic heart disease,Number,2019,26678.41470678365,28282.698499384776,24470.982350237795
Deaths,Canada,Female,All ages,Ischemic heart disease,Number,2019,22095.637104542104,24994.84761182628,18104.737625536785
Deaths,Canada,Both,All ages,Ischemic heart disease,Number,2019,48774.051811325706,52708.67442405644,42888.84847770691
Deaths,Canada,Male,All ages,Ischemic heart disease,Percent,2019,0.18049096627683306,0.19126186775541898,0.16566692204072425
Deaths,Canada,Female,All ages,Ischemic heart disease,Percent,2019,0.15739593740160057,0.17763480084104416,0.12912017071590506
Deaths,Canada,Both,All ages,Ischemic heart disease,Percent,2019,0.16924104267748946,0.1825111748619768,0.14840043658844973
Deaths,Canada,Male,All ages,Ischemic heart disease,Rate,2019,148.4629608321663,157.39065479308456,136.17879975695112
Deaths,Canada,Female,All ages,Ischemic heart disease,Rate,2019,119.11333154231137,134.74241798735034,97.5991597379114
Deaths,Canada,Both,All ages,Ischemic heart disease,Rate,2019,133.55494286761052,144.32887447127595,117.43985778043681
Deaths,Canada,Male,15-49 years,Ischemic heart disease,Number,2019,709.0926539754319,766.9401728000701,652.5918653687808
Deaths,Canada,Female,15-49 years,Ischemic heart disease,Number,2019,170.70508884138172,193.60562969250566,150.4497777860568
Deaths,Canada,Both,15-49 years,Ischemic heart disease,Number,2019,879.7977428168125,941.9104572228532,816.149309135483
Deaths,Canada,Male,15-49 years,Ischemic heart disease,Percent,2019,0.07621737116662801,0.08251471000076427,0.07019259124328817
Deaths,Canada,Female,15-49 years,Ischemic heart disease,Percent,2019,0.03316859237607617,0.03764499041681811,0.029317367129855575
Deaths,Canada,Both,15-49 years,Ischemic heart disease,Percent,2019,0.060885075449251036,0.06508912778618965,0.05676102960768032
Deaths,Canada,Male,15-49 years,Ischemic heart disease,Rate,2019,8.785854104495801,9.50260086227277,8.085793706600061
Deaths,Canada,Female,15-49 years,Ischemic heart disease,Rate,2019,2.1075006647990673,2.390227473915154,1.857431485230117
Deaths,Canada,Both,15-49 years,Ischemic heart disease,Rate,2019,5.440681141336259,5.824787007332451,5.04707836657021
Deaths,Canada,Male,50-69 years,Ischemic heart disease,Number,2019,6794.11974879051,7193.581496874194,6396.912317487164
Deaths,Canada,Female,50-69 years,Ischemic heart disease,Number,2019,2171.4161216443563,2373.4810746150624,1975.9937711644718
Deaths,Canada,Both,50-69 years,Ischemic heart disease,Number,2019,8965.535870434871,9472.146639409173,8454.027960942469
Deaths,Canada,Male,50-69 years,Ischemic heart disease,Percent,2019,0.18182255482062804,0.1921088105666175,0.17102359729811425
Deaths,Canada,Female,50-69 years,Ischemic heart disease,Percent,2019,0.08711533523899392,0.09509485084398756,0.07919787080454696
Deaths,Canada,Both,50-69 years,Ischemic heart disease,Percent,2019,0.14392621219632312,0.15201964356313583,0.13574568225237726
Deaths,Canada,Male,50-69 years,Ischemic heart disease,Rate,2019,142.6451145290627,151.031965057495,134.3055942343037
Deaths,Canada,Female,50-69 years,Ischemic heart disease,Rate,2019,43.53592923812007,47.58724183838523,39.61779786881046
Deaths,Canada,Both,50-69 years,Ischemic heart disease,Rate,2019,91.94860660442245,97.14429763406771,86.7026915554331
Deaths,Canada,Male,70+ years,Ischemic heart disease,Number,2019,19175.202304017697,20574.02239717799,17084.100574419972
Deaths,Canada,Female,70+ years,Ischemic heart disease,Number,2019,19753.51589405632,22556.08742797845,15847.295771112036
Deaths,Canada,Both,70+ years,Ischemic heart disease,Number,2019,38928.718198073984,42801.75483908345,33252.06494673518
Deaths,Canada,Male,70+ years,Ischemic heart disease,Percent,2019,0.19188984835298656,0.20537376767700027,0.17191464693354996
Deaths,Canada,Female,70+ years,Ischemic heart disease,Percent,2019,0.1807324472738434,0.20596126304523704,0.14538729398502132
Deaths,Canada,Both,70+ years,Ischemic heart disease,Percent,2019,0.18606132742948683,0.20376876386745718,0.15914391080246348
Deaths,Canada,Male,70+ years,Ischemic heart disease,Rate,2019,955.7896850922605,1025.5139985646817,851.5585311289302
Deaths,Canada,Female,70+ years,Ischemic heart disease,Rate,2019,793.3198741687416,905.873796648384,636.442380914895
Deaths,Canada,Both,70+ years,Ischemic heart disease,Rate,2019,865.8143594428227,951.9546407994283,739.5598068634328
Deaths,Canada,Male,Age-standardized,Ischemic heart disease,Rate,2019,85.07591251406393,90.25402125879232,78.05457212083545
Deaths,Canada,Female,Age-standardized,Ischemic heart disease,Rate,2019,46.02450129361827,51.459479268788044,38.71995056565514
Deaths,Canada,Both,Age-standardized,Ischemic heart disease,Rate,2019,63.94679571450417,68.69942574660608,56.88552695281989
Deaths,Canada,Male,80-84,Ischemic heart disease,Number,2019,4028.013337579535,4414.433222081348,3519.2152155062026
Deaths,Canada,Female,80-84,Ischemic heart disease,Number,2019,3063.102857923345,3501.1573023924634,2489.097381607572
Deaths,Canada,Both,80-84,Ischemic heart disease,Number,2019,7091.116195502889,7819.054051512064,6084.033491790553
Deaths,Canada,Male,80-84,Ischemic heart disease,Percent,2019,0.1858094718601748,0.2029716791763923,0.16304483125191133
Deaths,Canada,Female,80-84,Ischemic heart disease,Percent,2019,0.15991030121148267,0.18276659686676336,0.13050128354613505
Deaths,Canada,Both,80-84,Ischemic heart disease,Percent,2019,0.17366001902587908,0.19129405001532424,0.14870259586940765
Deaths,Canada,Male,80-84,Ischemic heart disease,Rate,2019,1157.6947149531256,1268.7559802838314,1011.4606170153247
Deaths,Canada,Female,80-84,Ischemic heart disease,Rate,2019,692.455378067147,791.4834453663644,562.6937613174173
Deaths,Canada,Both,80-84,Ischemic heart disease,Rate,2019,897.2827508366723,989.393225953736,769.8503532008664
Deaths,Canada,Male,85-89,Ischemic heart disease,Number,2019,4314.607638068719,4732.374398449807,3661.647160070304
Deaths,Canada,Female,85-89,Ischemic heart disease,Number,2019,4735.909450413377,5576.093972776334,3655.720690363313
Deaths,Canada,Both,85-89,Ischemic heart disease,Number,2019,9050.517088482098,10207.709501024572,7299.381123890316
Deaths,Canada,Male,85-89,Ischemic heart disease,Percent,2019,0.2023643482816634,0.22174099139861236,0.17223044092249393
Deaths,Canada,Female,85-89,Ischemic heart disease,Percent,2019,0.199167354551357,0.23455282313248535,0.153746207470025
Deaths,Canada,Both,85-89,Ischemic heart disease,Percent,2019,0.20067878585369203,0.22552274673802924,0.16249818082855508
Deaths,Canada,Male,85-89,Ischemic heart disease,Rate,2019,2127.176436266225,2333.1426985740795,1805.2555898939522
Deaths,Canada,Female,85-89,Ischemic heart disease,Rate,2019,1548.3707472436854,1823.0628946199763,1195.2109803446467
Deaths,Canada,Both,85-89,Ischemic heart disease,Rate,2019,1779.1579348009886,2006.6397507832564,1434.9182172401254
Deaths,Canada,Male,90-94,Ischemic heart disease,Number,2019,2890.7511839198455,3244.3681794494214,2408.7019484848242
Deaths,Canada,Female,90-94,Ischemic heart disease,Number,2019,4752.460633250365,5610.644372258307,3608.879257901533
Deaths,Canada,Both,90-94,Ischemic heart disease,Number,2019,7643.211817170212,8770.93761135333,5947.013620810191
Deaths,Canada,Male,90-94,Ischemic heart disease,Percent,2019,0.2152346417674773,0.2417805857440655,0.17887737565467113
Deaths,Canada,Female,90-94,Ischemic heart disease,Percent,2019,0.21293438026195322,0.2505763082953219,0.1605303389082527
Deaths,Canada,Both,90-94,Ischemic heart disease,Percent,2019,0.21379858290753637,0.24460638466839169,0.1665202160875636
Deaths,Canada,Male,90-94,Ischemic heart disease,Rate,2019,3655.2709299526227,4102.409352410593,3045.733669570966
Deaths,Canada,Female,90-94,Ischemic heart disease,Rate,2019,2928.772484041688,3457.640604163171,2224.02394978744
Deaths,Canada,Both,90-94,Ischemic heart disease,Rate,2019,3166.825724705924,3634.078385087614,2464.0368695854036
Deaths,Canada,Male,20+ years,Ischemic heart disease,Number,2019,26676.828727026554,28281.20691364685,24469.280073435464
Deaths,Canada,Female,20+ years,Ischemic heart disease,Number,2019,22094.808051409473,24993.964739331528,18103.87262397035
Deaths,Canada,Both,20+ years,Ischemic heart disease,Number,2019,48771.63677843593,52705.55879898069,42886.77384366913
Deaths,Canada,Male,20+ years,Ischemic heart disease,Percent,2019,0.18254710645277397,0.19347809645012382,0.16755873055157888
Deaths,Canada,Female,20+ years,Ischemic heart disease,Percent,2019,0.15879413780712773,0.17916885086251738,0.13025946064883973
Deaths,Canada,Both,20+ years,Ischemic heart disease,Percent,2019,0.1709618340220307,0.18436994164235784,0.14998555381792708
Deaths,Canada,Male,20+ years,Ischemic heart disease,Rate,2019,193.31993018270975,204.94643504945486,177.32240829005673
Deaths,Canada,Female,20+ years,Ischemic heart disease,Rate,2019,151.4428033028546,171.31427785975276,124.08803074607272
Deaths,Canada,Both,20+ years,Ischemic heart disease,Rate,2019,171.79852734691008,185.65580289616895,151.06904495483306
Deaths,Canada,Male,50-74 years,Ischemic heart disease,Number,2019,9948.75821242202,10470.328452569127,9380.66965439111
Deaths,Canada,Female,50-74 years,Ischemic heart disease,Number,2019,3656.991391857834,3974.0547221957113,3366.571019026775
Deaths,Canada,Both,50-74 years,Ischemic heart disease,Number,2019,13605.749604279856,14315.771698745795,12866.005365282303
Deaths,Canada,Male,50-74 years,Ischemic heart disease,Percent,2019,0.1793248509013654,0.18831654907168616,0.16918902558939675
Deaths,Canada,Female,50-74 years,Ischemic heart disease,Percent,2019,0.09636882605885332,0.10461531408325907,0.08889675373223845
Deaths,Canada,Both,50-74 years,Ischemic heart disease,Percent,2019,0.14562997165961025,0.15297777546640093,0.1378092936820061
Deaths,Canada,Male,50-74 years,Ischemic heart disease,Rate,2019,178.38959570377176,187.74178843821622,168.20329043558849
Deaths,Canada,Female,50-74 years,Ischemic heart disease,Rate,2019,62.19396829227969,67.5862223614534,57.25482747299799
Deaths,Canada,Both,50-74 years,Ischemic heart disease,Rate,2019,118.75531023743925,124.95260892043234,112.29858722301009
Deaths,Canada,Male,25+ years,Ischemic heart disease,Number,2019,26671.369757259905,28274.853290704174,24464.68349642114
Deaths,Canada,Female,25+ years,Ischemic heart disease,Number,2019,22092.866655441256,24991.498869943036,18101.983863892365
Deaths,Canada,Both,25+ years,Ischemic heart disease,Number,2019,48764.2364127012,52696.156754993724,42879.63249604633
Deaths,Canada,Male,25+ years,Ischemic heart disease,Percent,2019,0.18359338292543778,0.19459375364409592,0.16851915638822584
Deaths,Canada,Female,25+ years,Ischemic heart disease,Percent,2019,0.15916497529721105,0.17958544894737208,0.13056139351116441
Deaths,Canada,Both,25+ years,Ischemic heart disease,Percent,2019,0.17165731330596024,0.18511512483307194,0.150589269150461
Deaths,Canada,Male,25+ years,Ischemic heart disease,Rate,2019,210.40964007553575,223.059473818972,193.00115801674178
Deaths,Canada,Female,25+ years,Ischemic heart disease,Rate,2019,163.4671655308246,184.91441361369164,133.93825431822907
Deaths,Canada,Both,25+ years,Ischemic heart disease,Rate,2019,186.18631058033102,201.19874173646622,163.71835510583125
Deaths,Canada,Male,<20 years,Ischemic heart disease,Number,2019,1.5859797570884295,2.1168276567555457,1.1167394222700324
Deaths,Canada,Female,<20 years,Ischemic heart disease,Number,2019,0.8290531326094394,1.1200792130005908,0.6020004718080618
Deaths,Canada,Both,<20 years,Ischemic heart disease,Number,2019,2.4150328896978723,3.1512051692386773,1.7773605800792964
Deaths,Canada,Male,<20 years,Ischemic heart disease,Percent,2019,0.0009482220878754125,0.0012925104861039839,0.0006741265263729503
Deaths,Canada,Female,<20 years,Ischemic heart disease,Percent,2019,0.0006682655415033312,0.0009033541914675635,0.0004759740868995163
Deaths,Canada,Both,<20 years,Ischemic heart disease,Percent,2019,0.0008289706197458129,0.0011038373854547771,0.0005998522066651933
Deaths,Canada,Male,<20 years,Ischemic heart disease,Rate,2019,0.03802918326220136,0.05075804185611959,0.02677757263661215
Deaths,Canada,Female,<20 years,Ischemic heart disease,Rate,2019,0.020932746119072806,0.02828085785671547,0.015199897985135151
Deaths,Canada,Both,<20 years,Ischemic heart disease,Rate,2019,0.02970160622882965,0.038755519844985944,0.021859107717064556
Deaths,Canada,Male,10-24 years,Ischemic heart disease,Number,2019,7.044949523682541,9.065465571562106,5.542882764835495
Deaths,Canada,Female,10-24 years,Ischemic heart disease,Number,2019,2.7704491008314904,3.5677376029972456,2.1626269747963645
Deaths,Canada,Both,10-24 years,Ischemic heart disease,Number,2019,9.815398624514025,12.494241236221633,7.867038048585306
Deaths,Canada,Male,10-24 years,Ischemic heart disease,Percent,2019,0.004833606260736715,0.0061884552840497445,0.0038161734133490954
Deaths,Canada,Female,10-24 years,Ischemic heart disease,Percent,2019,0.004131378097063671,0.005301019763479383,0.0032177959218097373
