measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,High-middle SDI,Both,All ages,Other infectious diseases,Rate,2019,2.0903728459827566,2.3597622619573144,1.8935300382469553
Deaths,High-middle SDI,Both,All ages,Maternal and neonatal disorders,Number,2019,65743.677129165,75943.055338087,56633.39654248658
Deaths,High-middle SDI,Both,All ages,Maternal and neonatal disorders,Percent,2019,0.005672594977225048,0.0064947412613893364,0.004899143022730413
Deaths,High-middle SDI,Both,All ages,Maternal and neonatal disorders,Rate,2019,4.596161968416813,5.309203834530359,3.9592592732445913
Deaths,High SDI,Both,All ages,Nutritional deficiencies,Number,2019,16051.26254857108,17672.3678624636,13335.887415711082
Deaths,High SDI,Both,All ages,Nutritional deficiencies,Percent,2019,0.001804763817617294,0.001990277058470391,0.0014927386123848156
Deaths,High SDI,Both,All ages,Nutritional deficiencies,Rate,2019,1.5839257501992245,1.7438951259844158,1.315974703895363
Deaths,High SDI,Both,All ages,Non-communicable diseases,Number,2019,7859444.902538173,8008066.373958908,7738317.804304639
Deaths,High SDI,Both,All ages,Non-communicable diseases,Percent,2019,0.8836698871496694,0.8951654408411611,0.8775088174956779
Deaths,High SDI,Both,All ages,Non-communicable diseases,Rate,2019,775.5637368544852,790.2295847841084,763.6110116804718
Deaths,High-middle SDI,Both,All ages,Neglected tropical diseases and malaria,Number,2019,14733.77246212843,20246.68066329573,10438.101010256976
Deaths,High-middle SDI,Both,All ages,Neglected tropical diseases and malaria,Percent,2019,0.0012718036759626207,0.0017468230664780902,0.0009073087370961839
Deaths,High-middle SDI,Both,All ages,Neglected tropical diseases and malaria,Rate,2019,1.0300428512493462,1.4154520664929193,0.7297310552249837
Deaths,High-middle SDI,Both,All ages,Injuries,Number,2019,743580.0870655298,797138.0549470901,685556.7076065671
Deaths,High-middle SDI,Both,All ages,Injuries,Percent,2019,0.06415201636031517,0.06671660089721475,0.05986537945705861
Deaths,High-middle SDI,Both,All ages,Injuries,Rate,2019,51.983927061581056,55.72818211137528,47.92749362807609
Deaths,Low-middle SDI,Both,All ages,Neglected tropical diseases and malaria,Number,2019,188040.7362644896,303470.70228980685,103632.1632044861
Deaths,Low-middle SDI,Both,All ages,Neglected tropical diseases and malaria,Percent,2019,0.015200767533897333,0.02425671187798022,0.008612792470008046
Deaths,Low-middle SDI,Both,All ages,Neglected tropical diseases and malaria,Rate,2019,10.660011923095036,17.20372600631151,5.874897733978785
Deaths,High-middle SDI,Both,All ages,Non-communicable diseases,Number,2019,10254046.990191944,10792274.182177423,9689011.983449189
Deaths,High-middle SDI,Both,All ages,Non-communicable diseases,Percent,2019,0.884710394302572,0.890573478143088,0.8808273977376392
Deaths,High-middle SDI,Both,All ages,Non-communicable diseases,Rate,2019,716.8637784905976,754.491417500068,677.3619963844192
Deaths,High SDI,Both,All ages,Injuries,Number,2019,537331.3114048806,562153.4997487046,500762.0816087765
Deaths,High SDI,Both,All ages,Injuries,Percent,2019,0.060412732163077285,0.06278939686437135,0.05624317041137911
Deaths,High SDI,Both,All ages,Injuries,Rate,2019,53.02342404200927,55.472857734537016,49.41480169446957
Deaths,Low-middle SDI,Both,All ages,Non-communicable diseases,Number,2019,7967232.9683860615,8566666.464196108,7365244.076806927
Deaths,Low-middle SDI,Both,All ages,Non-communicable diseases,Percent,2019,0.644435497777469,0.6642203311316855,0.6191184153347439
Deaths,Low-middle SDI,Both,All ages,Non-communicable diseases,Rate,2019,451.66169907786053,485.64352843769564,417.5350045685487
Deaths,Low-middle SDI,Both,All ages,Injuries,Number,2019,1110888.8090913135,1222377.0359847469,980977.2510713392
Deaths,Low-middle SDI,Both,All ages,Injuries,Percent,2019,0.089844233598194,0.09549495929316873,0.08144752817662546
Deaths,Low-middle SDI,Both,All ages,Injuries,Rate,2019,62.97618370037501,69.2964409572763,55.61150950822059
Deaths,High SDI,Both,All ages,Neglected tropical diseases and malaria,Number,2019,438.3251091835491,527.6424373743841,205.88223491570972
Deaths,High SDI,Both,All ages,Neglected tropical diseases and malaria,Percent,2019,4.92812270252413e-05,5.935459603799776e-05,2.3115719471722618e-05
Deaths,High SDI,Both,All ages,Neglected tropical diseases and malaria,Rate,2019,0.04325357119378221,0.05206733370201886,0.020316294273099948
Deaths,High SDI,Both,All ages,HIV/AIDS and sexually transmitted infections,Number,2019,11317.263425842104,12466.342387223192,10796.16575245967
Deaths,High SDI,Both,All ages,HIV/AIDS and sexually transmitted infections,Percent,2019,0.0012725011244068976,0.0013997451502317237,0.0012080104026695308
Deaths,High SDI,Both,All ages,HIV/AIDS and sexually transmitted infections,Rate,2019,1.1167785031075317,1.2301686959622178,1.0653570014816158
Deaths,High SDI,Both,All ages,Respiratory infections and tuberculosis,Number,2019,398924.2210408326,432988.71999950596,338157.1451853094
Deaths,High SDI,Both,All ages,Respiratory infections and tuberculosis,Percent,2019,0.04485295526648992,0.048475120683502196,0.03825593749865268
Deaths,High SDI,Both,All ages,Respiratory infections and tuberculosis,Rate,2019,39.36552306541095,42.72698057724266,33.36907662260814
Deaths,High SDI,Both,All ages,Enteric infections,Number,2019,30455.918375007474,33430.378181245695,25749.240105490895
Deaths,High SDI,Both,All ages,Enteric infections,Percent,2019,0.0034243515638812385,0.0037513081441054364,0.002902803961450938
Deaths,High SDI,Both,All ages,Enteric infections,Rate,2019,3.0053656660444137,3.2988829806965656,2.5409144188959987
Deaths,High SDI,Both,All ages,Other infectious diseases,Number,2019,17768.739536082303,20787.962632457915,15051.211231423364
Deaths,High SDI,Both,All ages,Other infectious diseases,Percent,2019,0.001997767856668268,0.0023329760932503585,0.0016946442420171872
Deaths,High SDI,Both,All ages,Other infectious diseases,Rate,2019,1.7534050056572814,2.0513395259776948,1.4852414860824463
Deaths,High SDI,Both,All ages,Maternal and neonatal disorders,Number,2019,22380.721937325947,24846.934743362268,20098.2813753687
Deaths,High SDI,Both,All ages,Maternal and neonatal disorders,Percent,2019,0.002515759831163927,0.002762183734821913,0.002275571865328453
Deaths,High SDI,Both,All ages,Maternal and neonatal disorders,Rate,2019,2.208511740264008,2.4518756474415007,1.9832823311478318
Deaths,Low-middle SDI,Both,All ages,Nutritional deficiencies,Number,2019,59226.22713189,70361.76149025612,50936.46776228371
Deaths,Low-middle SDI,Both,All ages,Nutritional deficiencies,Percent,2019,0.004790290595356465,0.005571982490845582,0.0041478583020393206
Deaths,Low-middle SDI,Both,All ages,Nutritional deficiencies,Rate,2019,3.357529330760805,3.9888017421985764,2.887583639869152
Deaths,Low-middle SDI,Both,All ages,HIV/AIDS and sexually transmitted infections,Number,2019,279005.7220917852,322204.6294736816,246094.49973662928
Deaths,Low-middle SDI,Both,All ages,HIV/AIDS and sexually transmitted infections,Percent,2019,0.02258762237149104,0.026395670116449804,0.01974149228612839
Deaths,Low-middle SDI,Both,All ages,HIV/AIDS and sexually transmitted infections,Rate,2019,15.816808544754878,18.265750603288225,13.951074397574478
Deaths,Low-middle SDI,Both,All ages,Respiratory infections and tuberculosis,Number,2019,1112288.103393572,1228096.642139234,1011880.2360964963
Deaths,Low-middle SDI,Both,All ages,Respiratory infections and tuberculosis,Percent,2019,0.08995123111784764,0.09562098697658741,0.084677672325353
Deaths,Low-middle SDI,Both,All ages,Respiratory infections and tuberculosis,Rate,2019,63.055509564771626,69.62068490044233,57.36339686715991
Deaths,Low SDI,Both,All ages,Nutritional deficiencies,Number,2019,104285.16040922476,130286.63730152562,83825.00652141139
Deaths,Low SDI,Both,All ages,Nutritional deficiencies,Percent,2019,0.013445653478449528,0.016124008008610722,0.011324468052227542
Deaths,Low SDI,Both,All ages,Nutritional deficiencies,Rate,2019,9.239595909264226,11.543309482568379,7.4268398716560755
Deaths,Low SDI,Both,All ages,HIV/AIDS and sexually transmitted infections,Number,2019,317458.0841210216,387732.2403322006,267069.7626185227
Deaths,Low SDI,Both,All ages,HIV/AIDS and sexually transmitted infections,Percent,2019,0.041034434510942686,0.05023159721693907,0.034135528631154904
Deaths,Low SDI,Both,All ages,HIV/AIDS and sexually transmitted infections,Rate,2019,28.126575285470697,34.35281882489542,23.662203486048366
Deaths,Low SDI,Both,All ages,Respiratory infections and tuberculosis,Number,2019,1009243.872583741,1165379.184904854,880346.8482915096
Deaths,Low SDI,Both,All ages,Respiratory infections and tuberculosis,Percent,2019,0.13020013166737565,0.1399615788113854,0.12003891323321678
Deaths,Low SDI,Both,All ages,Respiratory infections and tuberculosis,Rate,2019,89.41833641509996,103.251821326595,77.99814572168385
Deaths,Low SDI,Both,All ages,Enteric infections,Number,2019,771699.0443177567,1009001.4563066068,593417.169401096
Deaths,Low SDI,Both,All ages,Enteric infections,Percent,2019,0.09955419659227055,0.12535102475905918,0.07895516443314692
Deaths,Low SDI,Both,All ages,Enteric infections,Rate,2019,68.37202249180942,89.39685849404427,52.576366851908496
Deaths,Low SDI,Both,All ages,Other infectious diseases,Number,2019,349672.3063756883,474558.6039055072,262674.8761890986
Deaths,Low SDI,Both,All ages,Other infectious diseases,Percent,2019,0.04508378115991765,0.059161576944536706,0.034879757143418455
Deaths,Low SDI,Both,All ages,Other infectious diseases,Rate,2019,30.98073396918331,42.04557693678925,23.272819469035376
Deaths,Low SDI,Both,All ages,Maternal and neonatal disorders,Number,2019,941154.2911394696,1140660.6630144354,789178.0532235098
Deaths,Low SDI,Both,All ages,Maternal and neonatal disorders,Percent,2019,0.12125856743270515,0.13335086515996825,0.11027244646142367
Deaths,Low SDI,Both,All ages,Maternal and neonatal disorders,Rate,2019,83.38564474825809,101.06177671386631,69.92065106513513
Deaths,Low-middle SDI,Both,All ages,Enteric infections,Number,2019,685601.8512975832,1041160.0564677112,457772.73179448367
Deaths,Low-middle SDI,Both,All ages,Enteric infections,Percent,2019,0.05543496863757463,0.08371204802203713,0.037345310746805443
Deaths,Low-middle SDI,Both,All ages,Enteric infections,Rate,2019,38.866705451782664,59.02326717219965,25.951093767965183
Deaths,Low SDI,Both,All ages,Neglected tropical diseases and malaria,Number,2019,442274.20766098914,781598.7510074921,214458.2175116135
Deaths,Low SDI,Both,All ages,Neglected tropical diseases and malaria,Percent,2019,0.05702365900580279,0.09936059742585387,0.027812144144725017
Deaths,Low SDI,Both,All ages,Neglected tropical diseases and malaria,Rate,2019,39.1852008842101,69.2491299256423,19.00085555272468
Deaths,Low-middle SDI,Both,All ages,Other infectious diseases,Number,2019,219895.94207672673,261216.06166443301,187338.88395544625
Deaths,Low-middle SDI,Both,All ages,Other infectious diseases,Percent,2019,0.017782152481405248,0.02092878102755285,0.015488389973116789
Deaths,Low-middle SDI,Both,All ages,Other infectious diseases,Rate,2019,12.465880590262223,14.808314342750382,10.620223980698709
Deaths,Low-middle SDI,Both,All ages,Maternal and neonatal disorders,Number,2019,742087.788022976,862015.7554812738,636224.9001190356
Deaths,Low-middle SDI,Both,All ages,Maternal and neonatal disorders,Percent,2019,0.05997323588676422,0.06736453444677222,0.053068702607324485
Deaths,Low-middle SDI,Both,All ages,Maternal and neonatal disorders,Rate,2019,42.068887973196254,48.86759334105765,36.067530662608014
Deaths,Low SDI,Both,All ages,Non-communicable diseases,Number,2019,3192505.769602112,3499339.7138980776,2913365.7447751425
Deaths,Low SDI,Both,All ages,Non-communicable diseases,Percent,2019,0.41242284950882074,0.44125446556331244,0.38305877817394074
Deaths,Low SDI,Both,All ages,Non-communicable diseases,Rate,2019,282.85388959816805,310.0391731554407,258.1222689017778
Deaths,Low SDI,Both,All ages,Injuries,Number,2019,619409.6908418773,700943.2580415932,542303.1275437092
Deaths,Low SDI,Both,All ages,Injuries,Percent,2019,0.07997672664371515,0.08839999966626383,0.07111264864326088
Deaths,Low SDI,Both,All ages,Injuries,Rate,2019,54.879286978159406,62.103106848695596,48.047696711322565
Deaths,Middle SDI,Both,All ages,Neglected tropical diseases and malaria,Number,2019,101636.72629689274,150541.16960662007,66941.75015107321
Deaths,Middle SDI,Both,All ages,Neglected tropical diseases and malaria,Percent,2019,0.006393843332714855,0.009374091226402032,0.004249016903959235
Deaths,Middle SDI,Both,All ages,Neglected tropical diseases and malaria,Rate,2019,4.24093190072494,6.2815369189697785,2.793236402329146
Deaths,Middle SDI,Both,All ages,HIV/AIDS and sexually transmitted infections,Number,2019,291762.672867361,339222.43065094354,263167.9504227939
Deaths,Middle SDI,Both,All ages,HIV/AIDS and sexually transmitted infections,Percent,2019,0.018368481694786724,0.02168656895647524,0.0162102849824931
Deaths,Middle SDI,Both,All ages,HIV/AIDS and sexually transmitted infections,Rate,2019,12.17419796845418,14.154521500295711,10.981043928316158
Deaths,Middle SDI,Both,All ages,Respiratory infections and tuberculosis,Number,2019,782299.2671243207,847174.0568201877,722829.3337336429
Deaths,Middle SDI,Both,All ages,Respiratory infections and tuberculosis,Percent,2019,0.04922045071144319,0.05244649963810385,0.045915862106728364
Deaths,Middle SDI,Both,All ages,Respiratory infections and tuberculosis,Rate,2019,32.64251062327556,35.34950026371652,30.161046030311546
Deaths,Middle SDI,Both,All ages,Enteric infections,Number,2019,226086.18363655827,329348.3766582806,158582.6712120242
Deaths,Middle SDI,Both,All ages,Enteric infections,Percent,2019,0.014228055450039882,0.020918531272584702,0.009962748310512658
Deaths,Middle SDI,Both,All ages,Enteric infections,Rate,2019,9.43375631458868,13.742513045353522,6.6170796103830085
Deaths,Middle SDI,Both,All ages,Other infectious diseases,Number,2019,112790.68215240359,131807.31715937774,98450.71932996085
Deaths,Middle SDI,Both,All ages,Other infectious diseases,Percent,2019,0.007094995647597432,0.008191299976013306,0.006331206343029087
Deaths,Middle SDI,Both,All ages,Other infectious diseases,Rate,2019,4.70634601755448,5.499841213473479,4.107991387248299
Deaths,Middle SDI,Both,All ages,Maternal and neonatal disorders,Number,2019,306306.1254802014,359134.8141149285,261218.57099125383
Deaths,Middle SDI,Both,All ages,Maternal and neonatal disorders,Percent,2019,0.019262860826346685,0.0222229757104414,0.01669103935834949
Deaths,Middle SDI,Both,All ages,Maternal and neonatal disorders,Rate,2019,12.78104348955358,14.985393029994551,10.89970339601993
Deaths,Middle SDI,Both,All ages,Nutritional deficiencies,Number,2019,54704.80234594176,59489.82761653924,49550.63502652265
Deaths,Middle SDI,Both,All ages,Nutritional deficiencies,Percent,2019,0.003442294145044899,0.003717026015861252,0.0031358746695646983
Deaths,Middle SDI,Both,All ages,Nutritional deficiencies,Rate,2019,2.282632959999708,2.4822947068428127,2.0675682545235894
Deaths,Middle SDI,Both,All ages,Non-communicable diseases,Number,2019,12737263.329801248,13580743.685341883,11921368.099380987
Deaths,Middle SDI,Both,All ages,Non-communicable diseases,Percent,2019,0.8011269626167667,0.8117305080838797,0.791025591300462
Deaths,Middle SDI,Both,All ages,Non-communicable diseases,Rate,2019,531.479794277273,566.6751697855102,497.4354459751533
Deaths,Middle SDI,Both,All ages,Injuries,Number,2019,1285578.5348305916,1395349.8750184567,1150214.8921716895
Deaths,Middle SDI,Both,All ages,Injuries,Percent,2019,0.08086205557526083,0.08448455056935636,0.07282548956778875
Deaths,Middle SDI,Both,All ages,Injuries,Rate,2019,53.6425288170362,58.22288864708584,47.994295041052915
YLLs (Years of Life Lost),Global,Both,All ages,Nutritional deficiencies,Number,2019,12161341.111288773,14970968.512884265,10021427.804687543
YLLs (Years of Life Lost),Global,Both,All ages,Nutritional deficiencies,Percent,2019,0.007244335632259952,0.008529091089983263,0.006157931765066912
YLLs (Years of Life Lost),Global,Both,All ages,Nutritional deficiencies,Rate,2019,157.17475560974015,193.48674588771087,129.51823747467452
YLLs (Years of Life Lost),Global,Both,All ages,Injuries,Number,2019,185218790.4638028,199696823.9436915,169682422.45267153
YLLs (Years of Life Lost),Global,Both,All ages,Injuries,Percent,2019,0.1104773401370492,0.1162266851680632,0.10181352887668003
YLLs (Years of Life Lost),Global,Both,All ages,Injuries,Rate,2019,2393.7917585797304,2580.9077479338007,2192.997715976497
YLLs (Years of Life Lost),High-middle SDI,Both,All ages,HIV/AIDS and sexually transmitted infections,Number,2019,2649228.593165394,2860628.9686739445,2506989.687448885
YLLs (Years of Life Lost),High-middle SDI,Both,All ages,HIV/AIDS and sexually transmitted infections,Percent,2019,0.010716595122175593,0.011731850511432978,0.009870942788696642
YLLs (Years of Life Lost),High-middle SDI,Both,All ages,HIV/AIDS and sexually transmitted infections,Rate,2019,185.20843733195363,199.98750671854265,175.26446891657244
YLLs (Years of Life Lost),High-middle SDI,Both,All ages,Respiratory infections and tuberculosis,Number,2019,8520731.965230599,9053356.603373097,7913515.615653886
YLLs (Years of Life Lost),High-middle SDI,Both,All ages,Respiratory infections and tuberculosis,Percent,2019,0.034445825714826565,0.03609579108087694,0.03265540021110018
YLLs (Years of Life Lost),High-middle SDI,Both,All ages,Respiratory infections and tuberculosis,Rate,2019,595.6871582452608,632.9231208833529,553.2364646668933
YLLs (Years of Life Lost),High SDI,Both,All ages,Non-communicable diseases,Number,2019,130037877.27831098,132550365.81745201,127694076.40386328
YLLs (Years of Life Lost),High SDI,Both,All ages,Non-communicable diseases,Percent,2019,0.8377138034068567,0.8447544662228388,0.8326441787412415
YLLs (Years of Life Lost),High SDI,Both,All ages,Non-communicable diseases,Rate,2019,12832.033723147773,13079.964082655875,12600.749327472158
YLLs (Years of Life Lost),Global,Both,All ages,Non-communicable diseases,Number,2019,927464910.2275628,980136924.5648825,873124254.5488558
YLLs (Years of Life Lost),Global,Both,All ages,Non-communicable diseases,Percent,2019,0.5533015164467312,0.5744124611532537,0.5299801311037673
YLLs (Years of Life Lost),Global,Both,All ages,Non-communicable diseases,Rate,2019,11986.677231371477,12667.417201180906,11284.371523652633
YLLs (Years of Life Lost),Low-middle SDI,Both,All ages,Neglected tropical diseases and malaria,Number,2019,11386252.350880312,18649984.03745984,6158452.615278426
YLLs (Years of Life Lost),Low-middle SDI,Both,All ages,Neglected tropical diseases and malaria,Percent,2019,0.026087818043029343,0.04143344997606034,0.014722509131862594
YLLs (Years of Life Lost),Low-middle SDI,Both,All ages,Neglected tropical diseases and malaria,Rate,2019,645.4855912126868,1057.265867781001,349.12210838371016
YLLs (Years of Life Lost),High SDI,Both,All ages,Neglected tropical diseases and malaria,Number,2019,11346.34328373611,14356.270290104841,5802.333951839259
YLLs (Years of Life Lost),High SDI,Both,All ages,Neglected tropical diseases and malaria,Percent,2019,7.308733120709171e-05,9.22192867050085e-05,3.762683356655282e-05
YLLs (Years of Life Lost),High SDI,Both,All ages,Neglected tropical diseases and malaria,Rate,2019,1.119648080225908,1.4166652698196276,0.5725696735545316
YLLs (Years of Life Lost),High-middle SDI,Both,All ages,Non-communicable diseases,Number,2019,198540148.46412715,210355446.5379576,186054479.611533
YLLs (Years of Life Lost),High-middle SDI,Both,All ages,Non-communicable diseases,Percent,2019,0.8024554679318086,0.8092013525857911,0.7963626869357474
YLLs (Years of Life Lost),High-middle SDI,Both,All ages,Non-communicable diseases,Rate,2019,13880.006708201588,14706.018060529128,13007.12951549763
YLLs (Years of Life Lost),High-middle SDI,Both,All ages,Enteric infections,Number,2019,1087898.3790518052,1420973.63987663,839456.4153116975
YLLs (Years of Life Lost),High-middle SDI,Both,All ages,Enteric infections,Percent,2019,0.004398463381731987,0.005790298842213196,0.0033820480110501724
YLLs (Years of Life Lost),High-middle SDI,Both,All ages,Enteric infections,Rate,2019,76.05533145760195,99.34073186828941,58.68667252394275
YLLs (Years of Life Lost),High-middle SDI,Both,All ages,Other infectious diseases,Number,2019,1357182.806068023,1578948.9823234591,1195516.3516213582
YLLs (Years of Life Lost),High-middle SDI,Both,All ages,Other infectious diseases,Percent,2019,0.005485601347764448,0.006292991123502039,0.0048953169380476615
YLLs (Years of Life Lost),High-middle SDI,Both,All ages,Other infectious diseases,Rate,2019,94.88109381505609,110.3848397218131,83.5789391145103
YLLs (Years of Life Lost),High-middle SDI,Both,All ages,Maternal and neonatal disorders,Number,2019,5699639.461193224,6597009.430401397,4902695.182897599
YLLs (Years of Life Lost),High-middle SDI,Both,All ages,Maternal and neonatal disorders,Percent,2019,0.023035460942875362,0.026279062707729155,0.01983709249133496
YLLs (Years of Life Lost),High-middle SDI,Both,All ages,Maternal and neonatal disorders,Rate,2019,398.4636586991693,461.19908671562683,342.74902357686904
YLLs (Years of Life Lost),High SDI,Both,All ages,Nutritional deficiencies,Number,2019,184499.31217405543,197465.87884041562,163085.48245227654
YLLs (Years of Life Lost),High SDI,Both,All ages,Nutritional deficiencies,Percent,2019,0.0011886141927904485,0.0012715122019284985,0.0010502432900338385
YLLs (Years of Life Lost),High SDI,Both,All ages,Nutritional deficiencies,Rate,2019,18.206244559406738,19.485774987145657,16.09314496963481
YLLs (Years of Life Lost),High-middle SDI,Both,All ages,Neglected tropical diseases and malaria,Number,2019,688777.7856851836,943536.3318933583,470059.8314206536
YLLs (Years of Life Lost),High-middle SDI,Both,All ages,Neglected tropical diseases and malaria,Percent,2019,0.002785190250530591,0.0038076869293477158,0.0019158838324074502
YLLs (Years of Life Lost),High-middle SDI,Both,All ages,Neglected tropical diseases and malaria,Rate,2019,48.15268024994925,65.9629335296785,32.86203653944394
YLLs (Years of Life Lost),High-middle SDI,Both,All ages,Nutritional deficiencies,Number,2019,313202.09516017436,334328.899838178,289326.5759200672
YLLs (Years of Life Lost),High-middle SDI,Both,All ages,Nutritional deficiencies,Percent,2019,0.0012661790371620875,0.0013356755418032341,0.0011826117008844376
YLLs (Years of Life Lost),High-middle SDI,Both,All ages,Nutritional deficiencies,Rate,2019,21.896060899901446,23.373042724091743,20.22691554175563
YLLs (Years of Life Lost),Global,Both,All ages,Neglected tropical diseases and malaria,Number,2019,49171070.15124951,83142068.48175946,26430924.031627204
YLLs (Years of Life Lost),Global,Both,All ages,Neglected tropical diseases and malaria,Percent,2019,0.029285143104901223,0.04874076552309106,0.015822238159787456
YLLs (Years of Life Lost),Global,Both,All ages,Neglected tropical diseases and malaria,Rate,2019,635.4933114176102,1074.5389159735525,341.59670279739225
YLLs (Years of Life Lost),High-middle SDI,Both,All ages,Injuries,Number,2019,28553867.715128217,30443340.992825426,26617598.06243281
YLLs (Years of Life Lost),High-middle SDI,Both,All ages,Injuries,Percent,2019,0.11541121627112441,0.11880319306995543,0.11055491424017619
YLLs (Years of Life Lost),High-middle SDI,Both,All ages,Injuries,Rate,2019,1996.2102300064018,2128.3039247693173,1860.844985363423
YLLs (Years of Life Lost),High SDI,Both,All ages,Injuries,Number,2019,16695762.919267364,17520424.752872437,15992718.758251328
YLLs (Years of Life Lost),High SDI,Both,All ages,Injuries,Percent,2019,0.1075470032784064,0.11118401666223088,0.10397860674270634
YLLs (Years of Life Lost),High SDI,Both,All ages,Injuries,Rate,2019,1647.5245312963286,1728.901501456842,1578.148695794866
YLLs (Years of Life Lost),Low-middle SDI,Both,All ages,Injuries,Number,2019,51232869.80435879,56490520.82955854,45295188.65816256
